"Order","Line","SO# line","Order date","Bill To Location","Ship To Location","Ordered Item"," ","Item Description"," ","Unit Selling Price","Extended Price","Status","*Order Date","Request Date","Promise Date","cs name","Order Type","RBO","unit","Packing Instruction"
"75807912","1.1","75807912-1","6-Apr","Taieasy International Co., LTD.","TAIEASY INTERNATIONAL CO., LTD.","GCL113756-AD","CB656763A","PL.THE WILLIAM CARTER CO.GCL113756-AD...same as reference items..SONIC CUT.CENTER FOLD..0000 WHITE.HS1111.Black.HS1111.Black","80","0","0","Entered","","19-Apr-22","","0132378............","VN SAM","THE WILLIAM CARTER CO","USD","0"
"75807912","2.1","75807912-2","6-Apr","Taieasy International Co., LTD.","TAIEASY INTERNATIONAL CO., LTD.","GCL113756-AD","CB656763A","PL.THE WILLIAM CARTER CO.GCL113756-AD...same as reference items..SONIC CUT.CENTER FOLD..0000 WHITE.HS1111.Black.HS1111.Black","80","0","0","Entered","","19-Apr-22","","0132378............","VN SAM","THE WILLIAM CARTER CO","USD","0"
"75807912","3.1","75807912-3","6-Apr","Taieasy International Co., LTD.","TAIEASY INTERNATIONAL CO., LTD.","GCL113756-AD","CB656763A","PL.THE WILLIAM CARTER CO.GCL113756-AD...same as reference items..SONIC CUT.CENTER FOLD..0000 WHITE.HS1111.Black.HS1111.Black","80","0","0","Entered","","19-Apr-22","","0132378............","VN SAM","THE WILLIAM CARTER CO","USD","0"
"75807912","4.1","75807912-4","6-Apr","Taieasy International Co., LTD.","TAIEASY INTERNATIONAL CO., LTD.","GCL113756-AD","CB656763A","PL.THE WILLIAM CARTER CO.GCL113756-AD...same as reference items..SONIC CUT.CENTER FOLD..0000 WHITE.HS1111.Black.HS1111.Black","80","0","0","Entered","","19-Apr-22","","0132378............","VN SAM","THE WILLIAM CARTER CO","USD","0"
"75807911","1.1","75807911-1","6-Apr","HANSAE CO LTD","HANSAE HCM Co.,Ltd","GAP-265227-LPN-STK-A","1-290120-000-00","GAP INC.GAP-265227-LPN-STK-A.......","21","0","0","Entered","","14-Apr-22","","0137125............","VN SAM","GAP INC","USD","LAM 3 SET TRIM CARD-dong goi trong bao nilon/Phong bi-THEO THONG TIN SO# 75806288"
"75807911","2.1","75807911-2","6-Apr","HANSAE CO LTD","HANSAE HCM Co.,Ltd","GAP-265227-LPN-STK-A","1-290120-000-00","GAP INC.GAP-265227-LPN-STK-A.......","6","0","0","Entered","","14-Apr-22","","0137125............","VN SAM","GAP INC","USD","LAM 3 SET TRIM CARD-dong goi trong bao nilon/Phong bi-THEO THONG TIN SO# 75806288"
"75807911","3.1","75807911-3","6-Apr","HANSAE CO LTD","HANSAE HCM Co.,Ltd","BGT-1D-FSC-FA21","1-269064-000-01","GAP INC.BGT-1D-FSC-FA21..BabyGap.....","12","0","0","Entered","","14-Apr-22","","0137125............","VN SAM","GAP INC","USD","LAM 3 SET TRIM CARD-dong goi trong bao nilon/Phong bi-THEO THONG TIN SO# 75806288"
"75807911","4.1","75807911-4","6-Apr","HANSAE CO LTD","HANSAE HCM Co.,Ltd","GAP-265227-LPN-STK","1-264208-000-01","GAP INC.GAP-265227-LPN-STK..SU22 w/ Franchise added.....","12","0","0","Entered","","14-Apr-22","","0137125............","VN SAM","GAP INC","USD","LAM 3 SET TRIM CARD-dong goi trong bao nilon/Phong bi-THEO THONG TIN SO# 75806288"
"75807596","1.1","75807596-1","6-Apr","KASALONG CERAMICS CO.,LTD.","KASALONG CERAMICS CO.,LTD.","IT-166S-600DPI","1-287259-002-00","H&M.IT-166S-600DPI.SEE AW- SAME AS OTHER STICKER.SPEED.....","35","0.00852","0.3","Booked","","9-Apr-22","","KHOAQUACH............","VN GEN","H&M HENNES & MAURITZ GBC AB","USD","0"
"75807596","2.1","75807596-2","6-Apr","KASALONG CERAMICS CO.,LTD.","KASALONG CERAMICS CO.,LTD.","IT-750S-600DPI","1-293529-001-00","H&M.IT-750S-600DPI.Raflacoat RP51 permanent adhes......","285","0.00886","2.53","Booked","","9-Apr-22","","KHOAQUACH............","VN GEN","H&M HENNES & MAURITZ GBC AB","USD","0"
"75807596","3.1","75807596-3","6-Apr","KASALONG CERAMICS CO.,LTD.","KASALONG CERAMICS CO.,LTD.","IT-215S-600DPI","1-298166-002-00","H&M.IT-215S-600DPI.IT215 -.Speed.....","35","0.00634","0.22","Booked","","9-Apr-22","","KHOAQUACH............","VN GEN","H&M HENNES & MAURITZ GBC AB","USD","0"
"75807596","4.1","75807596-4","6-Apr","KASALONG CERAMICS CO.,LTD.","KASALONG CERAMICS CO.,LTD.","IT-105S-600DPI","1-273764-001-00","H&M.IT-105S-600DPI.210/200GSM -......","115","0.00886","1.02","Booked","","9-Apr-22","","KHOAQUACH............","VN GEN","H&M HENNES & MAURITZ GBC AB","USD","0"
"75807596","5.1","75807596-5","6-Apr","KASALONG CERAMICS CO.,LTD.","KASALONG CERAMICS CO.,LTD.","IT-113S-600DPI","1-273783-001-00","H&M.IT-113S-600DPI.SEE AW -......","85","0.00886","0.75","Booked","","9-Apr-22","","KHOAQUACH............","VN GEN","H&M HENNES & MAURITZ GBC AB","USD","0"
"75807596","6.1","75807596-6","6-Apr","KASALONG CERAMICS CO.,LTD.","KASALONG CERAMICS CO.,LTD.","IT-115S-600DPI","1-273789-001-00","H&M.IT-115S-600DPI.SEE AW -......","85","0.00886","0.75","Booked","","9-Apr-22","","KHOAQUACH............","VN GEN","H&M HENNES & MAURITZ GBC AB","USD","0"
"75807596","7.1","75807596-7","6-Apr","KASALONG CERAMICS CO.,LTD.","KASALONG CERAMICS CO.,LTD.","IT-133S-600DPI","1-274368-001-00","H&M.IT-133S-600DPI.SEE AW -......","35","0.00634","0.22","Booked","","9-Apr-22","","KHOAQUACH............","VN GEN","H&M HENNES & MAURITZ GBC AB","USD","0"
"75807596","8.1","75807596-8","6-Apr","KASALONG CERAMICS CO.,LTD.","KASALONG CERAMICS CO.,LTD.","IT-161S-600DPI","1-260756-002-00","H&M.IT-161S-600DPI.......","190","0.00634","1.2","Booked","","9-Apr-22","","KHOAQUACH............","VN GEN","H&M HENNES & MAURITZ GBC AB","USD","0"
"75807596","9.1","75807596-9","6-Apr","KASALONG CERAMICS CO.,LTD.","KASALONG CERAMICS CO.,LTD.","PT51S-600DPI","1-260723-002-00","H&M.PT51S-600DPI.......","7481","0.00384","28.73","Booked","","9-Apr-22","","KHOAQUACH............","VN GEN","H&M HENNES & MAURITZ GBC AB","USD","0"
"75807456","1.1","75807456-1","6-Apr","JUNG KWANG IND CO., LTD","CONG TY TNHH MTV PINETREE","AEO-15SECLB","CB551634A","PL.AMERICAN EAGLE OUTFITTERS.AEO-15SECLB.....COLD CUT.CUT SINGLE..WHITE.HS1115.Blue.HS1111.Black","4090","0.00885","36.2","Supply Eligible","","16-Apr-22","16-Apr-22","0141390............","VN GEN","AMERICAN EAGLE OUTFITTERS","USD","0"
"75807456","2.1","75807456-2","6-Apr","JUNG KWANG IND CO., LTD","CONG TY TNHH MTV PINETREE","AEO-15SECLB","CB551634A","PL.AMERICAN EAGLE OUTFITTERS.AEO-15SECLB.....COLD CUT.CUT SINGLE..WHITE.HS1115.Blue.HS1111.Black","5900","0.00885","52.22","Supply Eligible","","16-Apr-22","16-Apr-22","0141390............","VN GEN","AMERICAN EAGLE OUTFITTERS","USD","0"
"75807456","3.1","75807456-3","6-Apr","JUNG KWANG IND CO., LTD","CONG TY TNHH MTV PINETREE","AEO-15SECLB","CB551634A","PL.AMERICAN EAGLE OUTFITTERS.AEO-15SECLB.....COLD CUT.CUT SINGLE..WHITE.HS1115.Blue.HS1111.Black","5901","0.00885","52.22","Supply Eligible","","16-Apr-22","16-Apr-22","0141390............","VN GEN","AMERICAN EAGLE OUTFITTERS","USD","0"
"75807389","1.1","75807389-1","6-Apr","Inqube Global (pvt) Ltd","Inqube Global (pvt) Ltd","ON-303155-HTL-CG1C-CDA","ATV659967","HT.OLD NAVY / GAP INC.ON-303155-HTL-CG1C-CDA.Agility®...CUT SINGLES..HOT.COOL GRAY 1C.","3221","0.02921","94.09","Entered","","18-Apr-22","21-Apr-22","JENNASU...........","VN URG","OLD NAVY / GAP INC","USD","0"
"75807389","2.1","75807389-2","6-Apr","Inqube Global (pvt) Ltd","Inqube Global (pvt) Ltd","ON-303155-HTL-CG1C-CDA","ATV659967","HT.OLD NAVY / GAP INC.ON-303155-HTL-CG1C-CDA.Agility®...CUT SINGLES..HOT.COOL GRAY 1C.","900","0.02921","26.29","Entered","","18-Apr-22","21-Apr-22","JENNASU...........","VN URG","OLD NAVY / GAP INC","USD","0"
"75807389","3.1","75807389-3","6-Apr","Inqube Global (pvt) Ltd","Inqube Global (pvt) Ltd","ON-303155-HTL-CG1C-CDA","ATV659967","HT.OLD NAVY / GAP INC.ON-303155-HTL-CG1C-CDA.Agility®...CUT SINGLES..HOT.COOL GRAY 1C.","500","0.02921","14.61","Entered","","18-Apr-22","21-Apr-22","JENNASU...........","VN URG","OLD NAVY / GAP INC","USD","0"
"75807389","4.1","75807389-4","6-Apr","Inqube Global (pvt) Ltd","Inqube Global (pvt) Ltd","ON-303155-HTL-CG1C-CDA","ATV659967","HT.OLD NAVY / GAP INC.ON-303155-HTL-CG1C-CDA.Agility®...CUT SINGLES..HOT.COOL GRAY 1C.","500","0.02921","14.61","Entered","","18-Apr-22","21-Apr-22","JENNASU...........","VN URG","OLD NAVY / GAP INC","USD","0"
"75807389","5.1","75807389-5","6-Apr","Inqube Global (pvt) Ltd","Inqube Global (pvt) Ltd","ON-303155-HTL-CG1C-CDA","ATV659967","HT.OLD NAVY / GAP INC.ON-303155-HTL-CG1C-CDA.Agility®...CUT SINGLES..HOT.COOL GRAY 1C.","450","0.02921","13.14","Entered","","18-Apr-22","21-Apr-22","JENNASU...........","VN URG","OLD NAVY / GAP INC","USD","0"
"75807389","6.1","75807389-6","6-Apr","Inqube Global (pvt) Ltd","Inqube Global (pvt) Ltd","ON-303155-HTL-CG1C-CDA","ATV659967","HT.OLD NAVY / GAP INC.ON-303155-HTL-CG1C-CDA.Agility®...CUT SINGLES..HOT.COOL GRAY 1C.","250","0.02921","7.3","Entered","","18-Apr-22","21-Apr-22","JENNASU...........","VN URG","OLD NAVY / GAP INC","USD","0"
"75807389","7.1","75807389-7","6-Apr","Inqube Global (pvt) Ltd","Inqube Global (pvt) Ltd","ON-303155-HTL-CG1C-CDA","ATV659967","HT.OLD NAVY / GAP INC.ON-303155-HTL-CG1C-CDA.Agility®...CUT SINGLES..HOT.COOL GRAY 1C.","250","0.02921","7.3","Entered","","18-Apr-22","21-Apr-22","JENNASU...........","VN URG","OLD NAVY / GAP INC","USD","0"
"75807389","8.1","75807389-8","6-Apr","Inqube Global (pvt) Ltd","Inqube Global (pvt) Ltd","ON-303155-HTL-CG1C-CDA","ATV659967","HT.OLD NAVY / GAP INC.ON-303155-HTL-CG1C-CDA.Agility®...CUT SINGLES..HOT.COOL GRAY 1C.","100","0.02921","2.92","Entered","","18-Apr-22","21-Apr-22","JENNASU...........","VN URG","OLD NAVY / GAP INC","USD","0"
"75807389","9.1","75807389-9","6-Apr","Inqube Global (pvt) Ltd","Inqube Global (pvt) Ltd","ON-303155-HTL-CG1C-CDA","ATV659967","HT.OLD NAVY / GAP INC.ON-303155-HTL-CG1C-CDA.Agility®...CUT SINGLES..HOT.COOL GRAY 1C.","1850","0.02921","54.04","Entered","","18-Apr-22","21-Apr-22","JENNASU...........","VN URG","OLD NAVY / GAP INC","USD","0"
"75807389","10.1","75807389-10","6-Apr","Inqube Global (pvt) Ltd","Inqube Global (pvt) Ltd","ON-303155-HTL-CG1C-CDA","ATV659967","HT.OLD NAVY / GAP INC.ON-303155-HTL-CG1C-CDA.Agility®...CUT SINGLES..HOT.COOL GRAY 1C.","1450","0.02921","42.35","Entered","","18-Apr-22","21-Apr-22","JENNASU...........","VN URG","OLD NAVY / GAP INC","USD","0"
"75807239","1.1","75807239-1","6-Apr","HANSAE CO LTD","HANSAE HCM Co.,Ltd","AR01-SU21","1-281025-004-00","GAP INC.AR01-SU21..GPM.....","21","0","0","Entered","","14-Apr-22","19-Apr-22","0137125............","VN SAM","GAP INC","USD","LAM 3 SET TRIM CARD-dong goi trong bao nilon/Phong bi-THEO THONG TIN SO# 75806282"
"75807239","2.1","75807239-2","6-Apr","HANSAE CO LTD","HANSAE HCM Co.,Ltd","AR01-SU21","1-281025-004-00","GAP INC.AR01-SU21..GPM.....","6","0","0","Entered","","14-Apr-22","19-Apr-22","0137125............","VN SAM","GAP INC","USD","LAM 3 SET TRIM CARD-dong goi trong bao nilon/Phong bi-THEO THONG TIN SO# 75806282"
"75807678","1.1","75807678-1","6-Apr","OKTAVA LTD (36/F, Tower Two)","Tay Son Garment Joint Stock Co","UPC/M12396RF","1-257297-000-02","MARKS & SPENCER.UPC/M12396RF.Medium Gloss, coated 80-90gsm......","860","0.07414","63.76","Supply Eligible","","19-Apr-22","19-Apr-22","KHOAQUACH............","VN GEN","MARKS & SPENCER SOLD TO","USD","0"
"75807013","1.1","75807013-1","6-Apr","PARK INTERNATIONAL CO.,LTD","Cong ty TNHH MTV CY VINA","P-71899-04-WHT","1-280010-000-00","TAPESTRY INC.P-71899-04-WHT.Please use same quality as pre.Dbl Perf Price Sticker Coach.....","150","0.01196","1.79","Entered","","16-Apr-22","","0136885............","VN GEN","COACH","USD","0"
"75807013","2.1","75807013-2","6-Apr","PARK INTERNATIONAL CO.,LTD","Cong ty TNHH MTV CY VINA","P-71899-04-WHT","1-280010-000-00","TAPESTRY INC.P-71899-04-WHT.Please use same quality as pre.Dbl Perf Price Sticker Coach.....","75","0.01196","0.9","Entered","","16-Apr-22","","0136885............","VN GEN","COACH","USD","0"
"75674580","1.1","75674580-1","6-Apr","QUANG VIET ENTERPRISE/6F,NO.356 NAKKING","CTY TNHH QUANG VIET TIEN GIANG","CHTK08","2-315367-000-03","ADIDAS SOURCING LTD.CHTK08.......","61","0.0165","1.01","Production Open","","13-Apr-22","13-Apr-22","THUONGHA............","VN GEN","ADIDAS SOURCING LTD","USD","KHONG KIM LOAI"
"75806353","1.1","75806353-1","6-Apr","WUXI JINMAO FOREIGN TRADE CO LTD","CONG TY TNHH A FIRST VINA","G-290934-G-SUD-R","WZ317860A","WL.KF7092.GAP INC.G-290934-G-SUD-R......END FOLD.SEP..88.","76230","0.018","1372.14","Supply Eligible","","22-Apr-22","","0136536............","VN GEN","GAP INC","USD","0"
"75806353","2.1","75806353-2","6-Apr","WUXI JINMAO FOREIGN TRADE CO LTD","CONG TY TNHH A FIRST VINA","G-290935-G-14MM-SZCOO-LP-SUD-R","WZ324640A","WL.KF7093.GAP INC.G-290935-G-14MM-SZCOO-LP-SUD-R......CENTRE FOLD LOOP.SEP..82.","8200","0.01164","95.45","Supply Eligible","","22-Apr-22","","0136536............","VN GEN","GAP INC","USD","0"
"75806352","1.1","75806352-1","6-Apr","WUXI JINMAO FOREIGN TRADE CO LTD","CONG TY TNHH A FIRST VINA","G-290934-G-SUD-R","WZ317860A","WL.KF7092.GAP INC.G-290934-G-SUD-R......END FOLD.SEP..88.","15000","0.018","270","Supply Eligible","","22-Apr-22","","0136536............","VN GEN","GAP INC","USD","0"
"75806352","2.1","75806352-2","6-Apr","WUXI JINMAO FOREIGN TRADE CO LTD","CONG TY TNHH A FIRST VINA","G-290935-G-14MM-SZCOO-LP-SUD-R","WZ324640A","WL.KF7093.GAP INC.G-290935-G-14MM-SZCOO-LP-SUD-R......CENTRE FOLD LOOP.SEP..82.","15000","0.01164","174.6","Supply Eligible","","22-Apr-22","","0136536............","VN GEN","GAP INC","USD","0"
"75806352","3.1","75806352-3","6-Apr","WUXI JINMAO FOREIGN TRADE CO LTD","CONG TY TNHH A FIRST VINA","G-290934-G-SUD-R","WZ317860A","WL.KF7092.GAP INC.G-290934-G-SUD-R......END FOLD.SEP..88.","2200","0.018","39.6","Supply Eligible","","22-Apr-22","","0136536............","VN GEN","GAP INC","USD","0"
"75806352","4.1","75806352-4","6-Apr","WUXI JINMAO FOREIGN TRADE CO LTD","CONG TY TNHH A FIRST VINA","G-290935-C-14MM-SZCOO-LP-SUD-R","WZ324650A","WL.KF7094.GAP INC.G-290935-C-14MM-SZCOO-LP-SUD-R......CENTRE FOLD LOOP.SEP..82.","2200","0.01164","25.61","Supply Eligible","","22-Apr-22","","0136536............","VN GEN","GAP INC","USD","0"
"75806332","1.1","75806332-1","6-Apr","HA HAE CORPORATION","Ha Hae Corporation-Branch of Ha Hae HCM","GAP-188659-PFL-B-FA22","CB651145A","PL.GAP INC.GAP-188659-PFL-B-FA22.GAP-188659-PFL-B....SONIC CUT.BOOKLET FOLD..0000 White.66-10-9-2019.Black.66-10-9-2019.Black","125","0","0","Entered","","9-Apr-22","","0141719............","VN SAM","GAP INC","USD","LAY SAMPLE SIZE M 50PCS, SIZE CÒN LAI 15PCS"
"75806332","2.1","75806332-2","6-Apr","HA HAE CORPORATION","Ha Hae Corporation-Branch of Ha Hae HCM","GAP-188659-PFL-EB-FA22","CB651183A","PL.GAP INC.GAP-188659-PFL-EB-FA22.GAP-188659-PFL-EB....SONIC CUT.BOOKLET FOLD..WHITE.66-10-9-2019.Black.66-10-9-2019.Black","125","0","0","Entered","","9-Apr-22","","0141719............","VN SAM","GAP INC","USD","LAY SAMPLE SIZE M 50PCS, SIZE CÒN LAI 15PCS"
"75806332","3.1","75806332-3","6-Apr","HA HAE CORPORATION","Ha Hae Corporation-Branch of Ha Hae HCM","GAP-188659-PFL-B-FA22","CB651145A","PL.GAP INC.GAP-188659-PFL-B-FA22.GAP-188659-PFL-B....SONIC CUT.BOOKLET FOLD..0000 White.66-10-9-2019.Black.66-10-9-2019.Black","45","0","0","Entered","","9-Apr-22","","0141719............","VN SAM","GAP INC","USD","LAY SAMPLE SIZE M 50PCS, SIZE CÒN LAI 15PCS"
"75806332","4.1","75806332-4","6-Apr","HA HAE CORPORATION","Ha Hae Corporation-Branch of Ha Hae HCM","GAP-188659-PFL-EB-FA22","CB651183A","PL.GAP INC.GAP-188659-PFL-EB-FA22.GAP-188659-PFL-EB....SONIC CUT.BOOKLET FOLD..WHITE.66-10-9-2019.Black.66-10-9-2019.Black","45","0","0","Entered","","9-Apr-22","","0141719............","VN SAM","GAP INC","USD","LAY SAMPLE SIZE M 50PCS, SIZE CÒN LAI 15PCS"
"75807347","1.1","75807347-1","6-Apr","Taieasy International Co., LTD.","TAIEASY INTERNATIONAL CO., LTD.","GCL113756-AD","CB656763A","PL.THE WILLIAM CARTER CO.GCL113756-AD...same as reference items..SONIC CUT.CENTER FOLD..0000 WHITE.HS1111.Black.HS1111.Black","1050","0.08207","86.17","Entered","","19-Apr-22","","0132378............","VN GEN","THE WILLIAM CARTER CO","USD","0"
"75807347","2.1","75807347-2","6-Apr","Taieasy International Co., LTD.","TAIEASY INTERNATIONAL CO., LTD.","GCL113756-AD","CB656763A","PL.THE WILLIAM CARTER CO.GCL113756-AD...same as reference items..SONIC CUT.CENTER FOLD..0000 WHITE.HS1111.Black.HS1111.Black","850","0.08207","69.76","Entered","","19-Apr-22","","0132378............","VN GEN","THE WILLIAM CARTER CO","USD","0"
"75807347","3.1","75807347-3","6-Apr","Taieasy International Co., LTD.","TAIEASY INTERNATIONAL CO., LTD.","GCL113756-AD","CB656763A","PL.THE WILLIAM CARTER CO.GCL113756-AD...same as reference items..SONIC CUT.CENTER FOLD..0000 WHITE.HS1111.Black.HS1111.Black","1050","0.08207","86.17","Entered","","19-Apr-22","","0132378............","VN GEN","THE WILLIAM CARTER CO","USD","0"
"75807347","4.1","75807347-4","6-Apr","Taieasy International Co., LTD.","TAIEASY INTERNATIONAL CO., LTD.","GCL113756-AD","CB656763A","PL.THE WILLIAM CARTER CO.GCL113756-AD...same as reference items..SONIC CUT.CENTER FOLD..0000 WHITE.HS1111.Black.HS1111.Black","850","0.08207","69.76","Entered","","19-Apr-22","","0132378............","VN GEN","THE WILLIAM CARTER CO","USD","0"
"75806329","1.1","75806329-1","6-Apr","KASALONG CERAMICS CO.,LTD.","KASALONG CERAMICS CO.,LTD.","IT-750S-600DPI","1-293529-001-00","H&M.IT-750S-600DPI.Raflacoat RP51 permanent adhes......","330","0.00886","2.92","Supply Eligible","","9-Apr-22","","KHOAQUACH............","VN GEN","H&M HENNES & MAURITZ GBC AB","USD","0"
"75806329","2.1","75806329-2","6-Apr","KASALONG CERAMICS CO.,LTD.","KASALONG CERAMICS CO.,LTD.","IT-215S-600DPI","1-298166-002-00","H&M.IT-215S-600DPI.IT215 -.Speed.....","35","0.00634","0.22","Supply Eligible","","9-Apr-22","","KHOAQUACH............","VN GEN","H&M HENNES & MAURITZ GBC AB","USD","0"
"75806329","3.1","75806329-3","6-Apr","KASALONG CERAMICS CO.,LTD.","KASALONG CERAMICS CO.,LTD.","IT-105S-600DPI","1-273764-001-00","H&M.IT-105S-600DPI.210/200GSM -......","140","0.00886","1.24","Supply Eligible","","9-Apr-22","","KHOAQUACH............","VN GEN","H&M HENNES & MAURITZ GBC AB","USD","0"
"75806329","4.1","75806329-4","6-Apr","KASALONG CERAMICS CO.,LTD.","KASALONG CERAMICS CO.,LTD.","IT-113S-600DPI","1-273783-001-00","H&M.IT-113S-600DPI.SEE AW -......","85","0.00886","0.75","Supply Eligible","","9-Apr-22","","KHOAQUACH............","VN GEN","H&M HENNES & MAURITZ GBC AB","USD","0"
"75806329","5.1","75806329-5","6-Apr","KASALONG CERAMICS CO.,LTD.","KASALONG CERAMICS CO.,LTD.","IT-115S-600DPI","1-273789-001-00","H&M.IT-115S-600DPI.SEE AW -......","60","0.00886","0.53","Supply Eligible","","9-Apr-22","","KHOAQUACH............","VN GEN","H&M HENNES & MAURITZ GBC AB","USD","0"
"75806329","6.1","75806329-6","6-Apr","KASALONG CERAMICS CO.,LTD.","KASALONG CERAMICS CO.,LTD.","IT-133S-600DPI","1-274368-001-00","H&M.IT-133S-600DPI.SEE AW -......","35","0.00634","0.22","Supply Eligible","","9-Apr-22","","KHOAQUACH............","VN GEN","H&M HENNES & MAURITZ GBC AB","USD","0"
"75806329","7.1","75806329-7","6-Apr","KASALONG CERAMICS CO.,LTD.","KASALONG CERAMICS CO.,LTD.","PT51S-600DPI","1-260723-002-00","H&M.PT51S-600DPI.......","7865","0.00384","30.2","Supply Eligible","","9-Apr-22","","KHOAQUACH............","VN GEN","H&M HENNES & MAURITZ GBC AB","USD","0"
"75806306","1.1","75806306-1","6-Apr","HANSAE CO LTD_YEOUIDO-DONG,5F-29","Minh Anh - Do Luong Garment JSC","AR01-SU21","1-281025-004-00","GAP INC.AR01-SU21..GPM.....","4","0","0","Entered","","13-Apr-22","18-Apr-22","0127027............","VN SAM","GAP INC","USD","L?Y SAMPLE 1 sets trim card SO#75800395"
"75806306","2.1","75806306-2","6-Apr","HANSAE CO LTD_YEOUIDO-DONG,5F-29","Minh Anh - Do Luong Garment JSC","AR01-SU21","1-281025-004-00","GAP INC.AR01-SU21..GPM.....","4","0","0","Entered","","13-Apr-22","18-Apr-22","0127027............","VN SAM","GAP INC","USD","L?Y SAMPLE 1 sets trim card SO#75800395"
"75806304","1.1","75806304-1","6-Apr","HANSAE CO LTD_YEOUIDO-DONG,5F-29","HANSAE CO LTD_YEOUIDO-DONG,5F-29","AR01-SU21","1-281025-004-00","GAP INC.AR01-SU21..GPM.....","12","0","0","Entered","","13-Apr-22","18-Apr-22","0127027............","VN SAM","GAP INC","USD","L?Y SAMPLE 3 sets trim card SO#75800395"
